Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B005659,12/29/05,36.29S,150.25,STRIPED MARLIN,0.0,70.0,-36.5,150.2500000000001
B050510,10/29/11,21.44S,114.0,BLACK MARLIN,150.0,30.0,-21.75,114.00000000000011
B032509,9/2/07,20.18S,116.58333333,BLACK MARLIN,120.0,23.0,-20.33333333,116.58333333300004
B041573,1/29/11,34.55S,150.91666667,STRIPED MARLIN,200.0,50.0,-34.91666667,150.91666666700007
B058343,2/19/12,27.00S,153.83333333,BLUE MARLIN,200.0,120.0,-27.0,153.83333333300004
B045875,11/14/09,11.50S,136.75,SAILFISH,200.0,23.0,-11.83333333,136.7500000000001
B002756,12/13/03,32.42S,152.5,STRIPED MARLIN,0.0,60.0,-32.66666667,152.5000000000001
B016334,2/24/08,32.42S,152.58333333,BLACK MARLIN,0.0,70.0,-32.66666667,152.58333333300004
B028300,2/21/10,32.50S,152.58333333,STRIPED MARLIN,240.0,90.0,-32.83333333,152.58333333300004
B036881,2/11/08,32.55S,152.58333333,STRIPED MARLIN,0.0,60.0,-32.91666667,152.58333333300004
B012498,9/4/06,19.11S,147.58333333,BLACK MARLIN,0.0,15.0,-19.16666667,147.58333333300004
B019819,9/6/06,19.11S,147.58333333,BLACK MARLIN,110.0,12.0,-19.16666667,147.58333333300004
B023930,8/1/08,17.52S,122.16666667,SAILFISH,180.0,25.0,-17.83333333,122.16666666700007
B065502,7/28/11,17.37S,121.91666667,SAILFISH,150.0,14.0,-17.58333333,121.91666666700007
B008892,3/5/05,26.26S,153.58333333,BLACK MARLIN,0.0,25.0,-26.41666667,153.58333333300004
B062160,1/19/18,36.08S,150.41666667,STRIPED MARLIN,205.0,70.0,-36.16666667,150.41666666700007
B054172,3/13/10,33.01S,152.41666667,STRIPED MARLIN,230.0,80.0,-33.0,152.41666666700007
B070107,2/19/12,33.03S,152.08333333,STRIPED MARLIN,210.0,60.0,-33.08333333,152.08333333300004
B126945,4/7/17,36.30S,150.25,STRIPED MARLIN,230.0,85.0,-36.5,150.2500000000001
A565337,4/14/17,38.15S,140.66666667,SOUTHERN BLUEFIN TUNA,60.0,3.0,-38.25,140.66666666700007
A553450,5/19/11,38.10S,140.75,SOUTHERN BLUEFIN TUNA,90.0,13.0,-38.16666667,140.7500000000001
A579952,4/12/14,38.48S,141.83333333,SOUTHERN BLUEFIN TUNA,90.0,15.0,-38.83333333,141.83333333300004
A560520,4/23/12,38.47S,141.58333333,SOUTHERN BLUEFIN TUNA,102.0,17.0,-38.75,141.58333333300004
A543455,5/17/15,38.32S,142.0,SOUTHERN BLUEFIN TUNA,100.0,12.0,-38.5,142.0000000000001
A531394,6/20/10,35.17S,136.16666667,SOUTHERN BLUEFIN TUNA,75.0,8.8,-35.25,136.16666666700007
A591618,1/24/16,35.17S,136.66666667,SOUTHERN BLUEFIN TUNA,92.0,16.0,-35.25,136.66666666700007
B103651,3/21/16,30.51S,153.08333333,SAILFISH,210.0,50.0,-30.83333333,153.08333333300004
A574121,11/8/14,24.42S,153.25,SPANISH MACKEREL,110.0,10.0,-24.66666667,153.2500000000001
B111273,1/4/15,26.37S,153.33333333,BLACK MARLIN,150.0,20.0,-26.58333333,153.33333333300004
B143757,1/20/19,27.02S,153.5,BLACK MARLIN,190.0,22.0,-27.0,153.5000000000001
A516853,6/4/13,35.48S,150.66666667,ALBACORE,0.0,8.0,-35.83333333,150.66666666700007
B135932,7/10/18,33.03S,152.41666667,STRIPED MARLIN,200.0,70.0,-33.08333333,152.41666666700007
A502517,4/4/09,30.13S,153.41666667,DOLPHINFISH,50.0,2.0,-30.25,153.41666666700007
A490165,2/11/12,43.13S,148.16666667,ALBACORE,40.0,5.0,-43.25,148.16666666700007
B119079,12/21/17,21.44S,113.83333333,BLUE MARLIN,270.0,150.0,-21.75,113.83333333300004
B152205,5/22/19,21.50S,113.91666667,BLACK MARLIN,180.0,40.0,-21.83333333,113.91666666700007
B096494,8/7/16,20.20S,116.66666667,BLACK MARLIN,155.0,40.0,-20.33333333,116.66666666700007
B099604,9/15/14,21.24S,113.83333333,BLUE MARLIN,270.0,170.0,-21.41666667,113.83333333300004
B162131,4/9/19,27.54S,153.66666667,BLACK MARLIN,140.0,30.0,-27.91666667,153.66666666700007
S181755,2/26/02,36.29S,150.25,STRIPED MARLIN,0.0,80.0,-36.5,150.2500000000001
D006688,11/3/07,36.26S,150.33333333,ALBACORE,50.0,3.0,-36.41666667,150.33333333300004
S252335,1/15/17,34.56S,150.91666667,WHALER SHARK,0.0,30.0,-34.91666667,150.91666666700007
S262498,4/30/17,34.57S,150.91666667,WHALER SHARK,160.0,45.0,-34.91666667,150.91666666700007
S173513,1/22/00,33.54S,155.58333333,STRIPED MARLIN,183.0,90.0,-33.91666667,155.58333333300004
A318489,11/18/17,24.54S,153.66666667,DOLPHINFISH,0.0,12.0,-24.91666667,153.66666666700007
S167458,3/4/00,32.37S,152.58333333,BLACK MARLIN,0.0,45.0,-32.58333333,152.58333333300004
S163045,2/28/00,32.49S,152.66666667,STRIPED MARLIN,190.0,80.0,-32.83333333,152.66666666700007
A328754,5/4/06,35.19S,136.16666667,SOUTHERN BLUEFIN TUNA,0.0,13.1,-35.33333333,136.16666666700007
S189796,8/16/02,17.25S,148.41666667,SAILFISH,0.0,18.0,-17.41666667,148.41666666700007
A402234,2/8/02,20.49S,149.25,SPANISH MACKEREL,80.0,5.0,-20.83333333,149.2500000000001
A364355,2/23/02,32.42S,152.41666667,DOLPHINFISH,60.0,3.0,-32.66666667,152.41666666700007
A399925,3/3/01,32.42S,152.41666667,DOLPHINFISH,0.0,1.0,-32.66666667,152.41666666700007
A388028,11/4/01,30.27S,153.41666667,YELLOWFIN TUNA,100.0,15.0,-30.41666667,153.41666666700007
A347679,2/24/01,32.33S,154.0,DOLPHINFISH,0.0,1.0,-32.58333333,154.0000000000001
S186147,3/12/05,32.33S,154.0,SHORTBILL SPEARFISH,160.0,30.0,-32.58333333,154.0000000000001
S149423,3/12/00,32.37S,152.58333333,BLACK MARLIN,0.0,40.0,-32.58333333,152.58333333300004
S248212,8/1/15,34.07S,151.66666667,MAKO SHARK,0.0,90.0,-34.08333333,151.66666666700007
A393093,12/15/02,34.04S,151.83333333,YELLOWFIN TUNA,90.0,8.0,-34.08333333,151.83333333300004
S238577,9/20/09,34.13S,151.75,BLUE SHARK,0.0,90.0,-34.25,151.7500000000001
A265204,3/7/04,33.04S,152.5,DOLPHINFISH,40.0,0.5,-33.08333333,152.5000000000001
S214926,3/2/05,32.55S,152.41666667,STRIPED MARLIN,230.0,90.0,-32.91666667,152.41666666700007
A285198,2/24/01,32.42S,152.41666667,DOLPHINFISH,45.0,0.0,-32.66666667,152.41666666700007
A395640,1/11/04,33.54S,151.83333333,STRIPED MARLIN,200.0,70.0,-33.91666667,151.83333333300004
S204793,9/2/06,34.02S,151.66666667,YELLOWFIN TUNA,100.0,10.0,-34.0,151.66666666700007
S177650,9/29/01,33.53S,151.5,YELLOWFIN TUNA,0.0,10.0,-33.91666667,151.5000000000001
D012215,12/22/13,33.37S,151.58333333,DOLPHINFISH,30.0,0.5,-33.58333333,151.58333333300004
S191802,2/7/05,33.34S,151.5,BLACK MARLIN,0.0,100.0,-33.58333333,151.5000000000001
A429238,3/13/05,34.15S,151.25,DOLPHINFISH,60.0,2.0,-34.25,151.2500000000001
A375506,6/1/01,35.45S,150.41666667,ALBACORE,80.0,8.0,-35.75,150.41666666700007
A342511,7/13/01,36.26S,150.41666667,ALBACORE,60.0,8.0,-36.41666667,150.41666666700007
A438839,2/7/04,33.14S,151.66666667,DOLPHINFISH,70.0,1.5,-33.25,151.66666666700007
S187297,12/2/01,33.22S,152.16666667,SHORTBILL SPEARFISH,0.0,15.0,-33.33333333,152.16666666700007
S161357,1/9/00,33.44S,151.66666667,STRIPED MARLIN,0.0,90.0,-33.75,151.66666666700007
A414767,12/29/02,33.44S,151.75,YELLOWFIN TUNA,60.0,4.0,-33.75,151.7500000000001
A424322,11/23/02,14.21S,136.58333333,SAILFISH,0.0,15.0,-14.33333333,136.58333333300004
A384824,6/16/08,17.52S,122.16666667,LONGTAIL TUNA,90.0,4.5,-17.83333333,122.16666666700007
S129843,1/21/00,27.50S,153.5,BLACK MARLIN,160.0,25.0,-27.83333333,153.5000000000001
S195597,5/20/07,26.41S,153.25,YELLOWFIN TUNA,0.0,6.0,-26.66666667,153.2500000000001
S222933,9/18/16,34.30S,151.16666667,MAKO SHARK,110.0,20.0,-34.5,151.16666666700007
S211567,4/3/15,34.32S,150.91666667,HAMMERHEAD SHARK,130.0,12.0,-34.5,150.91666666700007
A510353,6/20/10,38.08S,140.66666667,SOUTHERN BLUEFIN TUNA,80.0,10.0,-38.16666667,140.66666666700007
A499134,6/16/09,38.18S,140.66666667,SOUTHERN BLUEFIN TUNA,87.0,14.0,-38.33333333,140.66666666700007
A529044,7/9/10,38.10S,140.75,SOUTHERN BLUEFIN TUNA,77.0,10.0,-38.16666667,140.7500000000001
A570509,4/29/14,43.13S,148.0,SOUTHERN BLUEFIN TUNA,100.0,15.0,-43.25,148.0000000000001
A486926,2/16/08,43.16S,148.16666667,ALBACORE,0.0,3.0,-43.25,148.16666666700007
A581192,4/22/17,43.12S,148.16666667,SOUTHERN BLUEFIN TUNA,70.0,10.0,-43.16666667,148.16666666700007
B140531,8/12/17,12.58S,141.33333333,SAILFISH,240.0,18.0,-13.0,141.33333333300004
B122916,12/4/16,13.00S,141.25,BLACK MARLIN,135.0,13.0,-13.0,141.2500000000001
