Latitude_F,Longitude_,Count of Tag_Number
-35.16666667,150.8333333,48
-35.16666667,150.9166667,169
-35.16666667,151,102
-35.16666667,151.0833333,216
-35.16666667,151.1666667,82
-35.16666667,151.25,7
-35.16666667,151.3333333,2
-35.16666667,151.5,2
-35.16666667,151.5833333,5
-35.16666667,151.6666667,1
-35.16666667,151.8333333,10
-35.16666667,151.9166667,2
-35.16666667,152,1
-35.16666667,152.1666667,1
-35.08333333,150.8333333,115
-35.08333333,150.9166667,23
-35.08333333,151,280
-35.08333333,151.0833333,155
-35.08333333,151.1666667,36
-35.08333333,151.25,7
-35.08333333,151.3333333,5
-35.08333333,151.4166667,1
-35.08333333,151.5833333,10
-35.08333333,152,31
-35.08333333,152.0833333,1
-35.08333333,152.1666667,1
-35,150.8333333,122
-35,150.9166667,197
-35,151,132
-35,151.0833333,61
-35,151.1666667,28
-35,151.25,35
-35,151.3333333,3
-35,151.6666667,3
-35,151.8333333,15
-35,152.1666667,1
-35,152.4166667,3
-35,152.5,1
-34.91666667,150.8333333,19
-34.91666667,150.9166667,120
-34.91666667,151,70
-34.91666667,151.0833333,238
-34.91666667,151.1666667,4
-34.91666667,151.25,13
-34.91666667,151.3333333,12
-34.91666667,151.4166667,3
-34.91666667,151.5,4
-34.91666667,151.5833333,3
-34.91666667,151.75,2
-34.91666667,151.8333333,1
-34.91666667,151.9166667,3
-34.91666667,152,1
-34.91666667,152.3333333,1
-34.83333333,150.8333333,7
-34.83333333,150.9166667,58
-34.83333333,151,13
-34.83333333,151.0833333,65
-34.83333333,151.1666667,110
-34.83333333,151.25,58
-34.83333333,151.3333333,20
-34.83333333,151.4166667,4
-34.83333333,151.5,8
-34.83333333,151.5833333,5
-34.83333333,151.6666667,2
-34.83333333,151.8333333,1
-34.83333333,151.9166667,1
-34.75,150.9166667,14
-34.75,151,116
-34.75,151.0833333,59
-34.75,151.1666667,319
-34.75,151.25,40
-34.75,151.3333333,33
-34.75,151.4166667,2
-34.75,151.5,9
-34.75,151.5833333,1
-34.75,151.6666667,1
-34.75,151.9166667,1
-34.75,152.1666667,8
-34.66666667,150.9166667,13
-34.66666667,151,165
-34.66666667,151.0833333,100
-34.66666667,151.1666667,184
-34.66666667,151.25,17
-34.66666667,151.3333333,13
-34.66666667,151.4166667,37
-34.66666667,151.5,37
-34.66666667,151.5833333,2
-34.66666667,151.8333333,5
-34.66666667,152.3333333,1
-34.58333333,150.9166667,86
-34.58333333,151,120
-34.58333333,151.0833333,65
-34.58333333,151.1666667,132
-34.58333333,151.25,43
-34.58333333,151.3333333,44
-34.58333333,151.4166667,20
-34.58333333,151.5,12
-34.58333333,151.5833333,5
-34.58333333,151.6666667,1
-34.58333333,151.8333333,8
-34.58333333,151.9166667,2
-34.58333333,152.5,1
-34.5,150.9166667,139
-34.5,151,18
-34.5,151.0833333,29
-34.5,151.1666667,11
-34.5,151.25,52
-34.5,151.3333333,62
-34.5,151.4166667,24
-34.5,151.5,5
-34.5,151.5833333,3
-34.5,151.6666667,1
-34.5,151.8333333,4
-34.5,151.9166667,1
-34.5,152,3
-34.5,152.1666667,3
-34.5,152.5,2
-34.41666667,150.9166667,76
-34.41666667,151,25
-34.41666667,151.0833333,102
-34.41666667,151.1666667,42
-34.41666667,151.25,53
-34.41666667,151.3333333,39
-34.41666667,151.4166667,47
-34.41666667,151.5,23
-34.41666667,151.5833333,1
-34.41666667,151.6666667,4
-34.41666667,151.75,1
-34.41666667,152,2
-34.41666667,152.5,1
-34.33333333,151,75
-34.33333333,151.0833333,14
-34.33333333,151.1666667,18
-34.33333333,151.25,14
-34.33333333,151.3333333,66
-34.33333333,151.4166667,68
-34.33333333,151.5,9
-34.33333333,151.5833333,76
-34.33333333,151.6666667,40
-34.33333333,151.75,1
-34.33333333,151.8333333,5
-34.33333333,151.9166667,2
-34.33333333,152,2
-34.33333333,152.0833333,2
-34.25,151,1
-34.25,151.0833333,6
-34.25,151.1666667,30
-34.25,151.25,11
-34.25,151.3333333,53
-34.25,151.4166667,107
-34.25,151.5,105
-34.25,151.5833333,22
-34.25,151.6666667,5
-34.25,151.75,5
-34.25,151.8333333,3
-34.25,151.9166667,3
-34.16666667,151.0833333,4
-34.16666667,151.1666667,15
-34.16666667,151.25,9
-34.16666667,151.3333333,109
-34.16666667,151.4166667,100
-34.16666667,151.5,90
-34.16666667,151.5833333,26
-34.16666667,151.6666667,39
-34.16666667,151.75,24
-34.16666667,151.9166667,1
-34.16666667,152,2
-34.16666667,152.1666667,4
-34.16666667,152.3333333,1
-34.08333333,151.25,35
-34.08333333,151.3333333,144
-34.08333333,151.4166667,152
-34.08333333,151.5,260
-34.08333333,151.5833333,74
-34.08333333,151.6666667,126
-34.08333333,151.75,19
-34.08333333,151.8333333,26
-34.08333333,151.9166667,3
-34.08333333,152.0833333,1
-34.08333333,152.25,1
-34.08333333,152.4166667,1
-34,151.25,106
-34,151.3333333,269
-34,151.4166667,257
-34,151.5,234
-34,151.5833333,268
-34,151.6666667,129
-34,151.75,137
-34,151.8333333,80
-34,151.9166667,3
-34,152,5
-34,152.0833333,13
-34,152.1666667,1
-34,152.4166667,3
-34,152.5,3
-34,152.5833333,3
-33.91666667,151.3333333,27
-33.91666667,151.4166667,292
