Tag_Number,Release_Da,Latitude_bad,Longitude_bad,Species_Na,Length,Weight,Latitude_F,Longitude_
S218816,1/10/07,34.20S,151.12E,BLACK MARLIN,0,60,-34.33333333,151.1666667
S194425,12/21/02,34.22S,151.18E,YELLOWFIN TUNA,85,12,-34.33333333,151.3333333
A414102,9/21/08,34.15S,151.19E,ALBACORE,0,4,-34.25,151.3333333
A396472,3/23/01,34.04S,151.22E,DOLPHINFISH,40,1,-34.08333333,151.3333333
A422532,4/23/05,33.59S,151.20E,DOLPHINFISH,55,1.5,-34,151.3333333
A513961,3/28/14,34.01S,151.16E,DOLPHINFISH,55,1.5,-34,151.25
B068011,1/19/14,33.04S,152.23E,BLACK MARLIN,0,90,-33.08333333,152.4166667
B138458,2/28/18,33.05S,152.24E,STRIPED MARLIN,0,80,-33.08333333,152.4166667
B091222,12/31/15,33.03S,152.34E,STRIPED MARLIN,250,100,-33.08333333,152.5833333
B173466,2/10/21,35.08S,151.02E,STRIPED MARLIN,0,70,-35.16666667,151
S197342,3/8/03,33.07S,151.39E,WHALER SHARK,70,6,-33.08333333,151.6666667
S125862,12/23/01,33.05S,151.49E,TIGER SHARK,150,25,-33.08333333,151.8333333
B091021,2/15/14,33.04S,152.09E,BLACK MARLIN,0,60,-33.08333333,152.1666667
S203397,2/15/03,33.06S,152.12E,STRIPED MARLIN,0,60,-33.08333333,152.1666667
B062069,2/19/11,33.04S,152.25E,BLACK MARLIN,230,80,-33.08333333,152.4166667
A305025,11/8/08,35.11S,150.57E,ALBACORE,50,5,-35.16666667,150.9166667
A477863,11/10/07,35.11S,150.57E,ALBACORE,60,4,-35.16666667,150.9166667
B032458,3/12/11,35.11S,150.54E,STRIPED MARLIN,240,80,-35.16666667,150.9166667
B152733,1/30/21,35.11S,150.57E,STRIPED MARLIN,230,80,-35.16666667,150.9166667
B136869,12/30/18,35.09S,150.59E,STRIPED MARLIN,203,60,-35.16666667,151
B150049,1/1/19,35.08S,151.02E,STRIPED MARLIN,0,85,-35.16666667,151
B022221,3/3/07,35.11S,151.03E,STRIPED MARLIN,160,45,-35.16666667,151.0833333
S185903,11/25/01,35.11S,151.03E,YELLOWFIN TUNA,0,5,-35.16666667,151.0833333
S201316,11/25/06,35.11S,151.03E,YELLOWFIN TUNA,90,15,-35.16666667,151.0833333
B156230,2/28/20,35.07S,151.59E,STRIPED MARLIN,0,70,-35.08333333,152
A405193,3/4/01,33.06S,152.07E,DOLPHINFISH,50,1,-33.08333333,152.0833333
B083364,12/3/19,33.13S,152.35E,STRIPED MARLIN,0,60,-33.25,152.5833333
A445756,2/18/06,35.11S,151.03E,STRIPED MARLIN,220,90,-35.16666667,151.0833333
A457019,11/11/06,35.11S,151.03E,YELLOWFIN TUNA,90,10,-35.16666667,151.0833333
A464000,6/24/07,35.11S,151.03E,YELLOWFIN TUNA,0,6,-35.16666667,151.0833333
A498738,11/8/08,35.12S,151.03E,ALBACORE,0,8,-35.16666667,151.0833333
A501695,10/25/08,35.08S,151.05E,ALBACORE,75,7,-35.16666667,151.0833333
B005614,3/1/09,35.11S,151.03E,STRIPED MARLIN,0,90,-35.16666667,151.0833333
A362229,5/12/02,35.11S,151.03E,YELLOWFIN TUNA,0,20,-35.16666667,151.0833333
A380146,11/11/00,35.11S,151.03E,YELLOWFIN TUNA,45,2,-35.16666667,151.0833333
A390444,5/26/02,35.11S,151.03E,STRIPED MARLIN,235,80,-35.16666667,151.0833333
A415663,11/27/04,35.11S,151.03E,YELLOWFIN TUNA,70,8,-35.16666667,151.0833333
A424085,12/17/05,35.11S,151.03E,YELLOWFIN TUNA,0,8,-35.16666667,151.0833333
A437082,11/25/07,35.11S,151.03E,YELLOWFIN TUNA,0,28,-35.16666667,151.0833333
S209483,3/4/06,33.04S,152.28E,BLUE MARLIN,0,85,-33.08333333,152.5
S96787,1/15/00,35.02S,150.51E,STRIPED MARLIN,200,75,-35,150.8333333
B054606,2/11/18,35.06S,151.01E,STRIPED MARLIN,240,90,-35.08333333,151
B063417,2/7/15,35.05S,151.05E,BLACK MARLIN,240,140,-35.08333333,151.0833333
A335020,6/1/07,35.11S,151.03E,YELLOWFIN TUNA,0,20,-35.16666667,151.0833333
