Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B094979,4/13/19,33.52S,151.27E,STRIPED MARLIN,0.00000000,75.00000000,-33.83333333,151.41666667
B118311,2/12/16,34.02S,151.31E,BLUE MARLIN,206.00000000,220.00000000,-34.00000000,151.50000000
B082174,1/26/15,36.14S,150.20E,STRIPED MARLIN,200.00000000,60.00000000,-36.25000000,150.33333333
B103008,3/7/15,35.32S,150.43E,STRIPED MARLIN,0.00000000,70.00000000,-35.50000000,150.75000000
B126216,1/11/18,31.09S,153.01E,BLACK MARLIN,0.00000000,40.00000000,-31.16666667,153.00000000
B122336,4/22/17,30.11S,153.39E,BLUE MARLIN,0.00000000,150.00000000,-30.16666667,153.66666667
B139942,1/12/18,31.05S,153.03E,BLACK MARLIN,110.00000000,15.00000000,-31.08333333,153.08333333
B130688,2/25/17,33.03E,152.25S,BLUE MARLIN,210.00000000,110.00000000,-33.08333333,152.41666667
B073590,2/4/12,33.02S,152.26E,STRIPED MARLIN,225.00000000,85.00000000,-33.00000000,152.41666667
B074369,2/11/12,33.02S,152.25E,STRIPED MARLIN,0.00000000,85.00000000,-33.00000000,152.41666667
B082918,2/25/18,33.00S,152.23E,STRIPED MARLIN,0.00000000,80.00000000,-33.00000000,152.41666667
B095802,12/31/15,33.02S,152.25E,STRIPED MARLIN,0.00000000,90.00000000,-33.00000000,152.41666667
B181072,1/15/23,33.34S,151.36E,STRIPED MARLIN,190.00000000,55.00000000,-33.58333333,151.58333333
S196275,8/4/07,34.00S,151.36E,MAKO SHARK,0.00000000,60.00000000,-34.00000000,151.58333333
A350941,11/25/01,35.11S,151.03E,YELLOWFIN TUNA,40.00000000,2.00000000,-35.16666667,151.08333333
A250233_1,5/2/19,29.26S,153.23E,SPANISH MACKEREL,120.00000000,13.00000000,-29.41666667,153.41666667
S180440,3/26/00,36.29S,150.15E,STRIPED MARLIN,0.00000000,80.00000000,-36.50000000,150.25000000
B012045,2/25/07,37.14S,150.20E,STRIPED MARLIN,210.00000000,60.00000000,-37.25000000,150.33333333
S145485,1/27/17,30.21S,153.16E,HAMMERHEAD SHARK,150.00000000,40.00000000,-30.33333333,153.25000000
S203517,1/8/05,31.03S,153.14E,BLACK MARLIN,0.00000000,50.00000000,-31.08333333,153.25000000
B036139,2/22/09,32.58S,152.28E,STRIPED MARLIN,183.00000000,80.00000000,-33.00000000,152.50000000
A497854,10/5/08,34.01S,151.44E,YELLOWFIN TUNA,70.00000000,10.00000000,-34.00000000,151.75000000
S95471,11/28/04,33.58S,151.33E,MAKO SHARK,250.00000000,75.00000000,-34.00000000,151.58333333
A527902,7/17/11,35.59S,150.39E,ALBACORE,0.00000000,5.00000000,-36.00000000,150.66666667
S161624,3/20/00,32.30S,152.25E,BLACK MARLIN,0.00000000,45.00000000,-32.50000000,152.41666667
B025377,3/25/07,32.21S,152.33E,BLACK MARLIN,0.00000000,30.00000000,-32.33333333,152.58333333
A268574,3/11/02,35.45S,150.28E,STRIPED MARLIN,0.00000000,90.00000000,-35.75000000,150.50000000
A323616,3/2/02,35.45S,150.28E,STRIPED MARLIN,240.00000000,90.00000000,-35.75000000,150.50000000
S168227,3/28/03,35.43S,150.30E,STRIPED MARLIN,0.00000000,75.00000000,-35.75000000,150.50000000
B002161,2/2/06,36.15S,150.18E,STRIPED MARLIN,0.00000000,65.00000000,-36.25000000,150.33333333
S172572,2/23/02,32.54S,152.34E,BLUE MARLIN,200.00000000,90.00000000,-32.91666667,152.58333333
S210789,2/10/07,32.54S,152.34E,STRIPED MARLIN,0.00000000,90.00000000,-32.91666667,152.58333333
B015691,2/25/06,33.04S,152.28E,BLACK MARLIN,0.00000000,0.00000000,-33.08333333,152.50000000
S194807,2/1/03,33.05S,151.48E,STRIPED MARLIN,0.00000000,70.00000000,-33.08333333,151.83333333
S176641,4/10/00,33.05S,151.38E,WHALER SHARK,80.00000000,5.00000000,-33.08333333,151.66666667
A343696,11/11/00,35.11S,151.03E,YELLOWFIN TUNA,55.00000000,5.00000000,-35.16666667,151.08333333
A394101,2/1/02,34.53S,151.06E,DOLPHINFISH,60.00000000,2.00000000,-34.91666667,151.08333333
A385170,3/28/05,36.29S,150.15E,YELLOWFIN TUNA,0.00000000,6.00000000,-36.50000000,150.25000000
B009995,1/28/06,36.29S,150.15E,STRIPED MARLIN,0.00000000,100.00000000,-36.50000000,150.25000000
D007397,4/13/08,37.12S,150.06E,YELLOWFIN TUNA,85.00000000,0.00000000,-37.16666667,150.08333333
S1248754,2/17/05,32.54S,152.34E,STRIPED MARLIN,0.00000000,90.00000000,-32.91666667,152.58333333
B080942,1/4/14,33.44S,151.24E,STRIPED MARLIN,160.00000000,80.00000000,-33.75000000,151.41666667
B112450,1/27/17,36.15S,150.18E,STRIPED MARLIN,230.00000000,90.00000000,-36.25000000,150.33333333
B124207,2/10/18,35.04S,151.01E,BLACK MARLIN,230.00000000,120.00000000,-35.08333333,151.00000000
B079994_1,2/8/14,30.52S,153.06E,BLACK MARLIN,180.00000000,55.00000000,-30.83333333,153.08333333
B092190,5/16/14,30.08S,153.30E,STRIPED MARLIN,203.00000000,80.00000000,-30.16666667,153.50000000
B068023,2/25/11,32.54S,152.33E,BLUE MARLIN,220.00000000,115.00000000,-32.91666667,152.58333333
B084372,2/12/14,33.03S,152.25E,BLACK MARLIN,0.00000000,60.00000000,-33.08333333,152.41666667
B068810,2/5/12,33.02S,152.26E,STRIPED MARLIN,0.00000000,120.00000000,-33.00000000,152.41666667
B105311,2/22/15,33.01S,152.25E,STRIPED MARLIN,235.00000000,90.00000000,-33.00000000,152.41666667
B128380,4/8/16,33.01S,152.26E,STRIPED MARLIN,0.00000000,70.00000000,-33.00000000,152.41666667
S187675,2/3/02,33.27S,151.40E,STRIPED MARLIN,200.00000000,90.00000000,-33.41666667,151.66666667
B025450,2/4/07,33.53S,151.23E,BLACK MARLIN,200.00000000,104.00000000,-33.91666667,151.41666667
A612817,1/8/17,33.35S,151.34E,DOLPHINFISH,64.00000000,2.00000000,-33.58333333,151.58333333
S151931,3/9/02,35.43S,150.30E,STRIPED MARLIN,0.00000000,50.00000000,-35.75000000,150.50000000
A342928,1/14/00,35.45S,150.38E,STRIPED MARLIN,0.00000000,100.00000000,-35.75000000,150.66666667
B178351,3/27/21,36.17S,150.20E,STRIPED MARLIN,0.00000000,90.00000000,-36.25000000,150.33333333
S188904,2/27/16,32.41S,152.15E,HAMMERHEAD SHARK,0.00000000,30.00000000,-32.66666667,152.25000000
A389660,3/12/02,30.53S,153.05E,HAMMERHEAD SHARK,160.00000000,40.00000000,-30.91666667,153.08333333
