OBJECTID,Tag_Number,Release_Date,Latitude,Longitude,Species_Name,Length,Weight,Latitude_FiveNM,Longitude_FiveNM,Moon_Phase,Wind_Direction_10m,Rain_mm,Is_Raining,Sea_Surface_Temp_C
13,A102122,982972800000,-36.49999999909748,150.2500000000001,HAMMERHEAD SHARK,0.0,25.0,-36.5,150.25,0.0444297407152839,143.0,0.0,False,
14,A102353,1109376000000,-32.833333332139944,152.5000000000001,DOLPHINFISH,0.0,2.0,-32.83333333,152.5,0.5862799337070472,207.0,0.0,False,
15,A102354,1109376000000,-32.833333332139944,152.5000000000001,DOLPHINFISH,0.0,2.0,-32.83333333,152.5,0.5862799337070472,207.0,0.0,False,
16,A102355,1109376000000,-32.833333332139944,152.5000000000001,DOLPHINFISH,0.0,2.0,-32.83333333,152.5,0.5862799337070472,207.0,0.0,False,
17,A102972,995068800000,-36.49999999909748,150.2500000000001,ALBACORE,60.0,6.0,-36.5,150.25,0.7852766491355487,228.0,0.0,False,
18,A102975,995068800000,-36.49999999909748,150.2500000000001,ALBACORE,60.0,6.0,-36.5,150.25,0.7852766491355487,228.0,0.0,False,
19,A102976,995068800000,-35.91666666610326,150.5000000000001,ALBACORE,60.0,8.0,-35.91666667,150.5,0.7852766491355487,231.0,0.0,False,
20,A102977,995068800000,-36.49999999909748,150.2500000000001,ALBACORE,60.0,6.0,-36.5,150.25,0.7852766491355487,228.0,0.0,False,
21,A102978,995068800000,-35.91666666610326,150.5000000000001,ALBACORE,60.0,8.0,-35.91666667,150.5,0.7852766491355487,231.0,0.0,False,
22,A102980,995068800000,-35.91666666610326,150.5000000000001,ALBACORE,65.0,10.0,-35.91666667,150.5,0.7852766491355487,231.0,0.0,False,
24,A105067,1079481600000,-21.91666666634592,114.41666666700009,BLACK MARLIN,140.0,30.0,-21.91666667,114.41666667,0.8696154314683928,193.0,0.0,False,
25,A106165,1140825600000,-32.666666666142184,152.7500000000001,DOLPHINFISH,110.0,10.0,-32.66666667,152.75,0.9124818955997434,29.0,0.0,False,
26,A106166,1140912000000,-32.666666666142184,152.7500000000001,DOLPHINFISH,100.0,8.0,-32.66666667,152.75,0.9463450878027452,21.0,0.0,False,
27,A106167,1141430400000,-32.583333332143376,152.58333333300004,DOLPHINFISH,70.0,1.5,-32.58333333,152.58333333,0.1495242410207566,124.0,0.0,False,
28,A106179,1046476800000,-32.6666666661422,152.41666666700007,YELLOWFIN TUNA,60.0,5.0,-32.66666667,152.41666667,0.9338760099216704,211.0,1.3,True,
29,A106189,951696000000,-32.74999999914104,152.5000000000001,DOLPHINFISH,76.0,2.0,-32.75,152.5,0.7859541632285983,72.0,0.0,False,
30,A106191,958780800000,-33.083333332136604,151.83333333300004,MAKO SHARK,100.0,30.0,-33.08333333,151.83333333,0.5627359238747535,301.0,0.0,False,
31,A106198,958780800000,-33.083333332136604,151.83333333300004,MAKO SHARK,120.0,40.0,-33.08333333,151.83333333,0.5627359238747535,301.0,0.0,False,
32,A106245,1145923200000,-36.08333333210161,150.41666666700007,YELLOWFIN TUNA,45.0,4.0,-36.08333333,150.41666667,0.910410235576855,182.0,0.0,False,
33,A108211,1011657600000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,13.0,-33.16666667,134.16666667,0.2870095521119119,186.0,0.0,False,
34,A108213,1011657600000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,12.0,-33.16666667,134.16666667,0.2870095521119119,186.0,0.0,False,
35,A108214,1011916800000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,85.0,14.0,-33.16666667,134.16666667,0.3885991287209175,313.0,0.0,False,
36,A108215,1011916800000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,60.0,4.0,-33.16666667,134.16666667,0.3885991287209175,313.0,0.0,False,
37,A108216,1011916800000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,12.0,-33.16666667,134.16666667,0.3885991287209175,313.0,0.0,False,
38,A108217,1011657600000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,12.0,-33.16666667,134.16666667,0.2870095521119119,186.0,0.0,False,
39,A108218,1011657600000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,12.0,-33.16666667,134.16666667,0.2870095521119119,186.0,0.0,False,
40,A108219,1011312000000,-33.16666666613548,134.16666666700007,SOUTHERN BLUEFIN TUNA,80.0,12.0,-33.16666667,134.16666667,0.1515567832999043,295.0,0.0,False,
